날짜,순위,제목,가수
2023-04-19,29,Shut Down,BLACKPINK
2023-04-19,30,사랑인가 봐,멜로망스(MeloMance)
2023-04-19,31,Pink Venom,BLACKPINK
2023-04-19,32,Perfume,NCT 도재정
2023-04-19,33,Candy,NCT DREAM
2023-04-19,34,VIBE (feat. Jimin of BTS),태양
2023-04-19,35,FEARLESS,LE SSERAFIM (르세라핌)
2023-04-19,36,ELEVEN,IVE (아이브)
2023-04-19,37,너의 모든 순간,성시경
2023-04-19,38,Nostalgia,우디(Woody)
2023-04-19,39,Cookie,NewJeans
2023-04-19,40,That's Hilarious,Charlie Puth(찰리 푸스)
2023-04-19,41,그라데이션,10CM
2023-04-19,42,STAY,The Kid LAROI
2023-04-19,43,사람 Pt.2 (feat. 아이유),Agust D
2023-04-19,44,That’s Not How This Works (feat. Dan + Shay),Charlie Puth(찰리 푸스)
2023-04-19,45,TOMBOY,(여자)아이들
2023-04-19,46,Unholy,Sam Smith(샘 스미스)
2023-04-19,47,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
2023-04-19,48,Nxde,(여자)아이들
2023-04-19,49,다정히 내 이름을 부르면,경서예지
2023-04-19,50,Say I Love You,우디(Woody)
2023-04-19,51,WHEN I MOVE,카라(Kara)
2023-04-19,52,Blue Blood,IVE (아이브)
2023-04-19,53,Say My Name,Say Yes!
2023-04-19,54,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
2023-04-19,55,Monologue,테이(Tei)
2023-04-19,56,Feel My Rhythm,Red Velvet (레드벨벳)
2023-04-19,57,빛이 나는 너에게,던 (DAWN)
2023-04-19,58,"Young, Dumb, Stupid",NMIXX
2023-04-19,59,Off My Face,Justin Bieber(저스틴 비버)
2023-04-19,60,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
2023-04-19,61,사랑은 늘 도망가,임영웅
2023-04-19,62,사랑이 이별이 돼 가는 모습이,볼빨간사춘기
2023-04-19,63,취중고백,김민석 (멜로망스)
2023-04-19,64,Expectations,Anne-Marie(앤 마리)
2023-04-19,65,해요 (2022),#안녕
2023-04-19,66,드라마,아이유(IU)
2023-04-19,67,Rush Hour (Feat. j-hope of BTS),Crush
2023-04-19,68,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
2023-04-19,69,주저하는 연인들을 위해,잔나비
2023-04-19,70,Lips,IVE (아이브)
2023-04-19,71,나의 X에게,경서
2023-04-19,72,strawberry moon,아이유(IU)
2023-04-19,73,내가 아니라도,주호
2023-04-19,74,딱 10CM만,10CM
2023-04-19,75,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지
2023-04-19,76,도깨비불 (Illusion),aespa
2023-04-19,77,Zero,NewJeans
2023-04-19,78,Love story,볼빨간사춘기
2023-04-19,79,Anti-Hero,Taylor Swift(테일러 스위프트)
2023-04-19,80,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
2023-04-19,81,Dynamite,방탄소년단
2023-04-19,82,자격지심 (Feat. ZICO),BE'O (비오)
2023-04-19,83,INVU,태연 (TAEYEON)
2023-04-19,84,Left and Right (Feat. Jung Kook of BTS),Charlie Puth(찰리 푸스)
2023-04-19,85,친구로 지내다 보면 (Feat. 김민석 of 멜로망스),BIG Naughty (서동현)
